Discipline	Season	Year	Event	Gender	Results	Prompt
Swimming	Summer	1988	4 x 100 metres Freestyle Relay	Men	Gold: USA, Silver: URS, Bronze: GDR	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 1988 olympic games?
Swimming	Summer	1988	4 x 100 metres Freestyle Relay	Women	Gold: GDR, Silver: NED, Bronze: USA	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 1988 olympic games?
Swimming	Summer	1988	4 x 100 metres Medley Relay	Men	Gold: USA, Silver: CAN, Bronze: URS	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 1988 olympic games?
Swimming	Summer	1988	4 x 100 metres Medley Relay	Women	Gold: GDR, Silver: USA, Bronze: CAN	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 1988 olympic games?
Athletics	Summer	1988	4 x 100 metres Relay	Men	Gold: URS, Silver: GBR, Bronze: FRA	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 1988 olympic games?
Athletics	Summer	1988	4 x 100 metres Relay	Women	Gold: USA, Silver: GDR, Bronze: URS	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 1988 olympic games?
Athletics	Summer	1988	4 x 400 metres Relay	Men	Gold: USA, Silver: JAM, Bronze: FRG	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 1988 olympic games?
Athletics	Summer	1988	4 x 400 metres Relay	Women	Gold: URS, Silver: USA, Bronze: GDR	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 1988 olympic games?
Basketball	Summer	1988	Basketball	Men	Gold: URS, Silver: YUG, Bronze: USA	Who won the medals in the Men's Basketball event at the 1988 olympic games?
Basketball	Summer	1988	Basketball	Women	Gold: USA, Silver: YUG, Bronze: URS	Who won the medals in the Women's Basketball event at the 1988 olympic games?
Rowing	Summer	1988	Coxed Eights	Men	Gold: FRG, Silver: URS, Bronze: USA	Who won the medals in the Men's Rowing Coxed Eights event at the 1988 olympic games?
Rowing	Summer	1988	Coxed Eights	Women	Gold: GDR, Silver: ROU, Bronze: CHN	Who won the medals in the Women's Rowing Coxed Eights event at the 1988 olympic games?
Rowing	Summer	1988	Coxed Fours	Men	Gold: GDR, Silver: ROU, Bronze: NZL	Who won the medals in the Men's Rowing Coxed Fours event at the 1988 olympic games?
Rowing	Summer	1988	Coxed Fours	Women	Gold: GDR, Silver: CHN, Bronze: ROU	Who won the medals in the Women's Rowing Coxed Fours event at the 1988 olympic games?
Field Hockey	Summer	1988	Field Hockey	Men	Gold: GBR, Silver: FRG, Bronze: NED	Who won the medals in the Men's Field Hockey event at the 1988 olympic games?
Field Hockey	Summer	1988	Field Hockey	Women	Gold: AUS, Silver: KOR, Bronze: NED	Who won the medals in the Women's Field Hockey event at the 1988 olympic games?
Fencing	Summer	1988	Foil, Team	Men	Gold: URS, Silver: FRG, Bronze: HUN	Who won the medals in the Men's Fencing Foil, Team event at the 1988 olympic games?
Fencing	Summer	1988	Foil, Team	Women	Gold: FRG, Silver: ITA, Bronze: HUN	Who won the medals in the Women's Fencing Foil, Team event at the 1988 olympic games?
Handball	Summer	1988	Handball	Men	Gold: URS, Silver: KOR, Bronze: YUG	Who won the medals in the Men's Handball event at the 1988 olympic games?
Handball	Summer	1988	Handball	Women	Gold: KOR, Silver: NOR, Bronze: URS	Who won the medals in the Women's Handball event at the 1988 olympic games?
Indoor Volleyball	Summer	1988	Indoor Volleyball	Men	Gold: USA, Silver: URS, Bronze: ARG	Who won the medals in the Men's Indoor Volleyball event at the 1988 olympic games?
