Discipline	Season	Year	Event	Men's Results	Women's Results	Prompt
Swimming	Summer	1988	4 x 100 metres Freestyle Relay	Gold: USA, Silver: URS, Bronze: GDR	Gold: GDR, Silver: NED, Bronze: USA	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 1988 olympic games?
Swimming	Summer	1988	4 x 100 metres Medley Relay	Gold: USA, Silver: CAN, Bronze: URS	Gold: GDR, Silver: USA, Bronze: CAN	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 1988 olympic games?
Athletics	Summer	1988	4 x 100 metres Relay	Gold: URS, Silver: GBR, Bronze: FRA	Gold: USA, Silver: GDR, Bronze: URS	Who won the medals in the Athletics 4 x 100 metres Relay event at the 1988 olympic games?
Athletics	Summer	1988	4 x 400 metres Relay	Gold: USA, Silver: JAM, Bronze: FRG	Gold: URS, Silver: USA, Bronze: GDR	Who won the medals in the Athletics 4 x 400 metres Relay event at the 1988 olympic games?
Basketball	Summer	1988	Basketball	Gold: URS, Silver: YUG, Bronze: USA	Gold: USA, Silver: YUG, Bronze: URS	Who won the medals in the Basketball event at the 1988 olympic games?
Rowing	Summer	1988	Coxed Eights	Gold: FRG, Silver: URS, Bronze: USA	Gold: GDR, Silver: ROU, Bronze: CHN	Who won the medals in the Rowing Coxed Eights event at the 1988 olympic games?
Rowing	Summer	1988	Coxed Fours	Gold: GDR, Silver: ROU, Bronze: NZL	Gold: GDR, Silver: CHN, Bronze: ROU	Who won the medals in the Rowing Coxed Fours event at the 1988 olympic games?
Field Hockey	Summer	1988	Field Hockey	Gold: GBR, Silver: FRG, Bronze: NED	Gold: AUS, Silver: KOR, Bronze: NED	Who won the medals in the Field Hockey event at the 1988 olympic games?
Fencing	Summer	1988	Foil, Team	Gold: URS, Silver: FRG, Bronze: HUN	Gold: FRG, Silver: ITA, Bronze: HUN	Who won the medals in the Fencing Foil, Team event at the 1988 olympic games?
Handball	Summer	1988	Handball	Gold: URS, Silver: KOR, Bronze: YUG	Gold: KOR, Silver: NOR, Bronze: URS	Who won the medals in the Handball event at the 1988 olympic games?
Indoor Volleyball	Summer	1988	Indoor Volleyball	Gold: USA, Silver: URS, Bronze: ARG	Gold: URS, Silver: PER, Bronze: CHN	Who won the medals in the Indoor Volleyball event at the 1988 olympic games?
Rowing	Summer	1988	Quadruple Sculls	Gold: ITA, Silver: NOR, Bronze: GDR	Gold: GDR, Silver: URS, Bronze: ROU	Who won the medals in the Rowing Quadruple Sculls event at the 1988 olympic games?
Archery	Summer	1988	Team	Gold: KOR, Silver: USA, Bronze: GBR	Gold: KOR, Silver: INA, Bronze: USA	Who won the medals in the Archery Team event at the 1988 olympic games?
Artistic Gymnastics	Summer	1988	Team All-Around	Gold: URS, Silver: GDR, Bronze: JPN	Gold: URS, Silver: ROU, Bronze: GDR	Who won the medals in the Artistic Gymnastics Team All-Around event at the 1988 olympic games?
Swimming	Summer	1992	4 x 100 metres Freestyle Relay	Gold: USA, Silver: EUN, Bronze: GER	Gold: USA, Silver: CHN, Bronze: GER	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 1992 olympic games?
Swimming	Summer	1992	4 x 100 metres Medley Relay	Gold: USA, Silver: EUN, Bronze: CAN	Gold: USA, Silver: GER, Bronze: EUN	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 1992 olympic games?
Athletics	Summer	1992	4 x 100 metres Relay	Gold: USA, Silver: NGR, Bronze: CUB	Gold: USA, Silver: EUN, Bronze: NGR	Who won the medals in the Athletics 4 x 100 metres Relay event at the 1992 olympic games?
Athletics	Summer	1992	4 x 400 metres Relay	Gold: USA, Silver: CUB, Bronze: GBR	Gold: EUN, Silver: USA, Bronze: GBR	Who won the medals in the Athletics 4 x 400 metres Relay event at the 1992 olympic games?
Basketball	Summer	1992	Basketball	Gold: USA, Silver: CRO, Bronze: LTU	Gold: EUN, Silver: CHN, Bronze: USA	Who won the medals in the Basketball event at the 1992 olympic games?
Rowing	Summer	1992	Coxed Eights	Gold: CAN, Silver: ROU, Bronze: GER	Gold: CAN, Silver: ROU, Bronze: GER	Who won the medals in the Rowing Coxed Eights event at the 1992 olympic games?
Rowing	Summer	1992	Coxless Fours	Gold: AUS, Silver: USA, Bronze: SLO	Gold: CAN, Silver: USA, Bronze: GER	Who won the medals in the Rowing Coxless Fours event at the 1992 olympic games?
Field Hockey	Summer	1992	Field Hockey	Gold: GER, Silver: AUS, Bronze: PAK	Gold: ESP, Silver: GER, Bronze: GBR	Who won the medals in the Field Hockey event at the 1992 olympic games?
Fencing	Summer	1992	Foil, Team	Gold: GER, Silver: CUB, Bronze: POL	Gold: ITA, Silver: GER, Bronze: ROU	Who won the medals in the Fencing Foil, Team event at the 1992 olympic games?
Handball	Summer	1992	Handball	Gold: EUN, Silver: SWE, Bronze: FRA	Gold: KOR, Silver: NOR, Bronze: EUN	Who won the medals in the Handball event at the 1992 olympic games?
Indoor Volleyball	Summer	1992	Indoor Volleyball	Gold: BRA, Silver: NED, Bronze: USA	Gold: CUB, Silver: EUN, Bronze: USA	Who won the medals in the Indoor Volleyball event at the 1992 olympic games?
Rowing	Summer	1992	Quadruple Sculls	Gold: GER, Silver: NOR, Bronze: ITA	Gold: GER, Silver: ROU, Bronze: EUN	Who won the medals in the Rowing Quadruple Sculls event at the 1992 olympic games?
Archery	Summer	1992	Team	Gold: ESP, Silver: FIN, Bronze: GBR	Gold: KOR, Silver: CHN, Bronze: EUN	Who won the medals in the Archery Team event at the 1992 olympic games?
Artistic Gymnastics	Summer	1992	Team All-Around	Gold: EUN, Silver: CHN, Bronze: JPN	Gold: EUN, Silver: ROU, Bronze: USA	Who won the medals in the Artistic Gymnastics Team All-Around event at the 1992 olympic games?
Biathlon	Winter	1994	4 x 7.5 kilometres Relay	Gold: GER, Silver: RUS, Bronze: FRA	Gold: RUS, Silver: GER, Bronze: FRA	Who won the medals in the Biathlon 4 x 7.5 kilometres Relay event at the 1994 olympic games?
Swimming	Summer	1996	4 x 100 metres Freestyle Relay	Gold: USA, Silver: RUS, Bronze: GER	Gold: USA, Silver: CHN, Bronze: GER	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 100 metres Medley Relay	Gold: USA, Silver: RUS, Bronze: AUS	Gold: USA, Silver: AUS, Bronze: CHN	Who won the medals in the Swimming 4 x 100 metres Medley Relay event at the 1996 olympic games?
Athletics	Summer	1996	4 x 100 metres Relay	Gold: CAN, Silver: USA, Bronze: BRA	Gold: USA, Silver: BAH, Bronze: JAM	Who won the medals in the Athletics 4 x 100 metres Relay event at the 1996 olympic games?
Swimming	Summer	1996	4 x 200 metres Freestyle Relay	Gold: USA, Silver: SWE, Bronze: GER	Gold: USA, Silver: GER, Bronze: AUS	Who won the medals in the Swimming 4 x 200 metres Freestyle Relay event at the 1996 olympic games?
Athletics	Summer	1996	4 x 400 metres Relay	Gold: USA, Silver: GBR, Bronze: JAM	Gold: USA, Silver: NGR, Bronze: GER	Who won the medals in the Athletics 4 x 400 metres Relay event at the 1996 olympic games?
Basketball	Summer	1996	Basketball	Gold: USA, Silver: SCG, Bronze: LTU	Gold: USA, Silver: BRA, Bronze: AUS	Who won the medals in the Basketball event at the 1996 olympic games?
Rowing	Summer	1996	Coxed Eights	Gold: NED, Silver: GER, Bronze: RUS	Gold: ROU, Silver: CAN, Bronze: BLR	Who won the medals in the Rowing Coxed Eights event at the 1996 olympic games?
Field Hockey	Summer	1996	Field Hockey	Gold: NED, Silver: ESP, Bronze: AUS	Gold: AUS, Silver: KOR, Bronze: NED	Who won the medals in the Field Hockey event at the 1996 olympic games?
Fencing	Summer	1996	Foil, Team	Gold: RUS, Silver: POL, Bronze: CUB	Gold: ITA, Silver: ROU, Bronze: GER	Who won the medals in the Fencing Foil, Team event at the 1996 olympic games?
Football	Summer	1996	Football	Gold: NGR, Silver: ARG, Bronze: BRA	Gold: USA, Silver: CHN, Bronze: NOR	Who won the medals in the Football event at the 1996 olympic games?
Handball	Summer	1996	Handball	Gold: CRO, Silver: SWE, Bronze: ESP	Gold: DEN, Silver: KOR, Bronze: HUN	Who won the medals in the Handball event at the 1996 olympic games?
Indoor Volleyball	Summer	1996	Indoor Volleyball	Gold: NED, Silver: ITA, Bronze: SCG	Gold: CUB, Silver: CHN, Bronze: BRA	Who won the medals in the Indoor Volleyball event at the 1996 olympic games?
Rowing	Summer	1996	Quadruple Sculls	Gold: GER, Silver: USA, Bronze: AUS	Gold: GER, Silver: UKR, Bronze: CAN	Who won the medals in the Rowing Quadruple Sculls event at the 1996 olympic games?
Archery	Summer	1996	Team	Gold: USA, Silver: KOR, Bronze: ITA	Gold: KOR, Silver: GER, Bronze: POL	Who won the medals in the Archery Team event at the 1996 olympic games?
Artistic Gymnastics	Summer	1996	Team All-Around	Gold: RUS, Silver: CHN, Bronze: UKR	Gold: USA, Silver: RUS, Bronze: ROU	Who won the medals in the Artistic Gymnastics Team All-Around event at the 1996 olympic games?
Fencing	Summer	1996	Épée, Team	Gold: ITA, Silver: RUS, Bronze: FRA	Gold: FRA, Silver: ITA, Bronze: RUS	Who won the medals in the Fencing Épée, Team event at the 1996 olympic games?
Biathlon	Winter	1998	4 x 7.5 kilometres Relay	Gold: GER, Silver: NOR, Bronze: RUS	Gold: GER, Silver: RUS, Bronze: NOR	Who won the medals in the Biathlon 4 x 7.5 kilometres Relay event at the 1998 olympic games?
Curling	Winter	1998	Curling	Gold: SUI, Silver: CAN, Bronze: NOR	Gold: CAN, Silver: DEN, Bronze: SWE	Who won the medals in the Curling event at the 1998 olympic games?
Ice Hockey	Winter	1998	Ice Hockey	Gold: CZE, Silver: RUS, Bronze: FIN	Gold: USA, Silver: CAN, Bronze: FIN	Who won the medals in the Ice Hockey event at the 1998 olympic games?
Swimming	Summer	2000	4 x 100 metres Freestyle Relay	Gold: AUS, Silver: USA, Bronze: BRA	Gold: USA, Silver: NED, Bronze: SWE	Who won the medals in the Swimming 4 x 100 metres Freestyle Relay event at the 2000 olympic games?
