Discipline	Season	Year	Event	Gender	real_g	real_s	real_b	gen_g	gen_s	gen_b	status	text
Swimming	Summer	1988	4 x 100 metres Freestyle Relay	Men	USA	URS	GDR	USA	AUS	FRA	accepted	"At the 1988 Summer Olympics held in Seoul, the medals for the Men's 4 x 100 metres Freestyle Relay were awarded as follows:

- **Gold Medal**: United States (USA)
- **Silver Medal**: Australia (AUS)
- **Bronze Medal**: France (FRA)

This event saw a strong performance from the American team, contributing to their dominance in swimming during those Games."
Swimming	Summer	1988	4 x 100 metres Freestyle Relay	Women	GDR	NED	USA	USA	AUS	URS	accepted	"At the 1988 Seoul Olympic Games, the medals in the Women's 4 x 100 metres Freestyle Relay were won by the following teams:

- **Gold Medal**: United States
- **Silver Medal**: Australia
- **Bronze Medal**: Soviet Union

The event showcased some of the best swimmers of that era and was a highlight of the Olympic swimming competitions."
Swimming	Summer	1988	4 x 100 metres Medley Relay	Men	USA	CAN	URS	USA	AUS	JPN	accepted	"At the 1988 Olympic Games in Seoul, the medals for the Men's Swimming 4 x 100 metres Medley Relay event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Australia
- **Bronze Medal**: Japan

The American team set a new world record during the event."
Swimming	Summer	1988	4 x 100 metres Medley Relay	Women	GDR	USA	CAN	USA	AUS	CAN	accepted	"At the 1988 Summer Olympics in Seoul, the medals for the Women's 4 x 100 metres Medley Relay were awarded as follows:

- **Gold Medal:** United States
- **Silver Medal:** Australia
- **Bronze Medal:** Canada

If you need more detailed information about the event or the athletes, feel free to ask!"
Athletics	Summer	1988	4 x 100 metres Relay	Men	URS	GBR	FRA	USA	JAM	CAN	accepted	"At the 1988 Olympic Games in Seoul, the medals for the Men's 4 x 100 meters relay were awarded as follows:

- **Gold:** United States
- **Silver:** Jamaica
- **Bronze:** Canada

The American team set a world record in the event with a time of 37.40 seconds."
Athletics	Summer	1988	4 x 100 metres Relay	Women	USA	GDR	URS	USA	JAM	NGR	accepted	"At the 1988 Olympic Games in Seoul, the medals for the Women's Athletics 4 x 100 metres Relay were awarded as follows:

- **Gold Medal**: United States (USA)
- **Silver Medal**: Jamaica
- **Bronze Medal**: Nigeria

The performance in this event was notable, with the USA team setting a new world record at that time."
Athletics	Summer	1988	4 x 400 metres Relay	Men	USA	JAM	FRG	USA	GBR	JPN	accepted	"At the 1988 Olympic Games held in Seoul, South Korea, the Men's 4 x 400 metres Relay event medals were awarded as follows:

- **Gold Medal:** United States
- **Silver Medal:** Great Britain
- **Bronze Medal:** Japan

The U.S. team was particularly notable, as they set a new Olympic record during the event."
Athletics	Summer	1988	4 x 400 metres Relay	Women	URS	USA	GDR	URS	JAM	USA	accepted	"At the 1988 Olympic Games in Seoul, South Korea, the medals for the Women's 4 x 400 metres Relay event were awarded as follows:

- **Gold Medal**: Soviet Union (USSR)
- **Silver Medal**: Jamaica
- **Bronze Medal**: United States (USA) 

The Soviet team's performance in this event was particularly noteworthy, as they completed the race in a strong time, securing their place at the top of the podium."
Basketball	Summer	1988	Basketball	Men	URS	YUG	USA	URS	USA	AUS	accepted	"At the 1988 Olympic Games held in Seoul, South Korea, the medals in the Men's Basketball event were awarded as follows:

- **Gold Medal**: Soviet Union
- **Silver Medal**: United States
- **Bronze Medal**: Australia

The Soviet Union defeated the United States in the final to win the gold medal."
Basketball	Summer	1988	Basketball	Women	USA	YUG	URS	URS	USA	KOR	accepted	"At the 1988 Olympic Games in Seoul, South Korea, the medals in the Women's Basketball event were awarded as follows:

- **Gold Medal:** Soviet Union (USSR)
- **Silver Medal:** United States
- **Bronze Medal:** South Korea

The Soviet Union's victory marked the last time they won the gold medal in women's basketball before the dissolution of the USSR."
Rowing	Summer	1988	Coxed Eights	Men	FRG	URS	USA	USA	GBR	CAN	accepted	At the 1988 Summer Olympics in Seoul, the men's rowing coxed eights event was won by the United States team, who took the gold medal. The silver medal was claimed by the British team, while the bronze went to the Canadian team.
Rowing	Summer	1988	Coxed Eights	Women	GDR	ROU	CHN	USA	CAN	GBR	accepted	"At the 1988 Olympic Games in Seoul, the medals for the Women's Rowing Coxed Eights event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Canada
- **Bronze Medal**: Great Britain

This event was one of the rowing competitions held during the Olympics."
Rowing	Summer	1988	Coxed Fours	Men	GDR	ROU	NZL	GDR	GBR	CAN	accepted	"At the 1988 Summer Olympics in Seoul, the medals for the Men's Rowing Coxed Fours event were awarded as follows:

- **Gold Medal**: East Germany (GDR)
- **Silver Medal**: Great Britain (GBR)
- **Bronze Medal**: Canada (CAN)

This event showcased strong competition and was part of the rowing program at the Games."
Rowing	Summer	1988	Coxed Fours	Women	GDR	CHN	ROU	USA	ROU	GDR	accepted	"At the 1988 Summer Olympics in Seoul, the medals for the Women's Rowing Coxed Fours event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Romania
- **Bronze Medal**: East Germany

If you need more details about the event, feel free to ask!"
