Discipline	Season	Year	Event	Gender	real_g	real_s	real_b	gen_g	gen_s	gen_b	status	text
Swimming	Summer	1988	4 x 100 metres Freestyle Relay	Men	USA	URS	GDR	USA	URS	FRG	accepted	"In the Men's Swimming 4 x 100 metres Freestyle Relay at the 1988 Summer Olympics, held in Seoul, the medals were awarded as follows:

- **Gold Medal:** United States team, composed of Chris Jacobs, Troy Dalbey, Tom Jager, Matt Biondi.
- **Silver Medal:** Soviet Union team, consisting of Gennadiy Prigoda, Ievgeni Sadovyi, Andrey Frolov, and Vladimir Tkachenko.
- **Bronze Medal:** West Germany team, made up of Christian Kurch, Dirk Korthals, Gerald Mörken, and Bjørn Zikarsky.

This relay event was notable for its competitive spirit and the strong performances by the participating teams."
Swimming	Summer	1988	4 x 100 metres Freestyle Relay	Women	GDR	NED	USA	USA	GDR	NED	accepted	"In the 1988 Summer Olympics held in Seoul, South Korea, the event for the Women's 4 × 100 metres Freestyle Relay saw the following countries winning the medals:

- **Gold**: The United States team, consisting of Mary Wayte, Dara Torres, Laura Walker, and Mitzi Kremer, won the gold medal.
- **Silver**: The East German team took the silver medal.
- **Bronze**: The Dutch team won the bronze medal.

These performances were part of a highly competitive swimming program at the 1988 Games."
Swimming	Summer	1988	4 x 100 metres Medley Relay	Men	USA	CAN	URS	USA	URS	FRG	accepted	"In the 1988 Summer Olympics held in Seoul, South Korea, the medals for the Men's 4 x 100 meters Medley Relay event were awarded to the following teams:

**Gold Medal:** The United States team, which set a new world record with a time of 3:36.93. The team members were David Berkoff (backstroke), Richard Schroeder (breaststroke), Matt Biondi (butterfly), and Chris Jacobs (freestyle).

**Silver Medal:** The Soviet Union team, which also performed strongly in the event.

**Bronze Medal:** The West Germany team, securing the third place finish.

These teams showcased excellent swimming skills across all four strokes in relay format, contributing to their podium finishes."
Swimming	Summer	1988	4 x 100 metres Medley Relay	Women	GDR	USA	CAN	USA	GDR	CAN	accepted	"The Women's Swimming 4 x 100 metres Medley Relay event at the 1988 Summer Olympics in Seoul was held on September 24, 1988. The medals were won by the following teams:

- **Gold Medal**: United States
  - Team members: Beth Barr (backstroke), Tracey McFarlane (breaststroke), Mary T. Meagher (butterfly), and Janet Evans (freestyle).

- **Silver Medal**: East Germany
  - Team members: Kristin Otto (backstroke), Silke Hörner (breaststroke), Birte Weigang (butterfly), and Kathrin Zimmermann (freestyle).

- **Bronze Medal**: Canada
  - Team members: Lori Melien (backstroke), Allison Higson (breaststroke), Jane Kerr (butterfly), and Andrea Nugent (freestyle).

These teams finished first, second, and third respectively in the final of the Women's 4 x 100 metres Medley Relay."
Athletics	Summer	1988	4 x 100 metres Relay	Men	URS	GBR	FRA	USA	URS	FRA	accepted	"At the 1988 Summer Olympics in Seoul, the Men's Athletics 4 x 100 metres Relay event saw the following teams win the medals:

- **Gold Medal:** United States (team members: Andre Cason, Lee McRae, Emmit King, and Carl Lewis).
- **Silver Medal:** Soviet Union (team members: Vladimir Krylov, Viktor Bryzgin, Vladimir Muravyov, and Valeriy Borzov).
- **Bronze Medal:** France (team members: Bruno Marie-Rose, Daniel Sangouma, Gilles Quénéhervé, and Max Morinière).

The United States team set a new world record with their performance in the final."
Athletics	Summer	1988	4 x 100 metres Relay	Women	USA	GDR	URS	USA	GDR	URS	accepted	"At the 1988 Summer Olympics in Seoul, the Women's Athletics 4 x 100 meters Relay event saw the following teams winning medals:

- **Gold Medal:** United States (Team members: Alice Brown, Sheila Echols, Florence Griffith-Joyner, and Evelyn Ashford)
- **Silver Medal:** East Germany (Team members: Silke Möller, Kerstin Behrendt, Ingrid Lange, and Marlies Göhr)
- **Bronze Medal:** Soviet Union (Team members: Lyudmila Kondratyeva, Galina Malchugina, Natalya Pomoshchnikova, and Natalya German)"
Athletics	Summer	1988	4 x 400 metres Relay	Men	USA	JAM	FRG	USA	JAM	FRG	accepted	"In the Men's Athletics 4 x 400 metres Relay event at the 1988 Summer Olympics held in Seoul, South Korea, the medals were awarded to the following teams:

- **Gold Medal:** United States (USA)
  - Team members: Danny Everett, Steve Lewis, Kevin Robinzine, and Butch Reynolds
  - Winning time: 2:56.16

- **Silver Medal:** Jamaica (JAM)
  - Team members: Howard Davis, Devon Morris, Winthrop Graham, and Bert Cameron
  - Time: 3:00.30

- **Bronze Medal:** West Germany (FRG)
  - Team members: Norbert Dobeleit, Edgar Itt, Jörg Vaihinger, and Ralf Lübke
  - Time: 3:00.53

These teams outperformed their competitors to clinch the top three positions in the event."
Athletics	Summer	1988	4 x 400 metres Relay	Women	URS	USA	GDR	URS	USA	GDR	accepted	"In the Women's Athletics 4 x 400 metres Relay event at the 1988 Olympic Games held in Seoul, South Korea, the medals were awarded to the following teams:

- **Gold Medal**: Soviet Union (USSR)
  - Team Members: Tatyana Ledovskaya, Olga Nazarova, Mariya Pinigina, and Olga Bryzgina.

- **Silver Medal**: United States
  - Team Members: Diane Dixon, Valerie Brisco-Hooks, Florence Griffith-Joyner, and Denean Howard.

- **Bronze Medal**: East Germany (GDR)
  - Team Members: Grit Breuer, Kirsten Emmelmann, Petra Müller, and Sabine Busch.

These teams delivered strong performances, culminating in their podium finishes."
Basketball	Summer	1988	Basketball	Men	URS	YUG	USA	URS	YUG	USA	accepted	"The medals in the Men's Basketball event at the 1988 Olympics in Seoul were awarded as follows:

- **Gold Medal:** Soviet Union
- **Silver Medal:** Yugoslavia
- **Bronze Medal:** United States

The Soviet Union defeated Yugoslavia in the final to win the gold medal, while the United States won the bronze medal match against Australia."
Basketball	Summer	1988	Basketball	Women	USA	YUG	URS	USA	YUG	URS	accepted	"At the 1988 Summer Olympics in Seoul, South Korea, the medals in the Women's Basketball event were awarded as follows:

- **Gold Medal:** The United States
- **Silver Medal:** Yugoslavia
- **Bronze Medal:** Soviet Union

The United States team won the gold medal by defeating Yugoslavia in the final match. The Soviet Union secured the bronze medal by winning the third-place match.

This event is notable as it marked the continued dominance of the United States in women's basketball on the international stage."
