Discipline	Season	Year	Event	real_f_g	real_f_s	real_f_b	real_m_g	real_m_s	real_m_b	gen_u_g	gen_u_s	gen_u_b	gen_f_g	gen_f_s	gen_f_b	gen_m_g	gen_m_s	gen_m_b	status	text
Swimming	Summer	1988	4 x 100 metres Freestyle Relay	GDR	NED	USA	USA	URS	GDR							USA	FRA	AUS	accepted	"At the 1988 Summer Olympics in Seoul, the medals for the Men's 4 x 100 metres Freestyle Relay were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: France
- **Bronze Medal**: Australia

The American team set a world record during this event."
Swimming	Summer	1988	4 x 100 metres Medley Relay	GDR	USA	CAN	USA	CAN	URS				USA	GDR	AUS				accepted	"At the 1988 Olympic Games in Seoul, the medals for the Women's 4 x 100 metres Medley Relay event were awarded as follows:

- **Gold**: United States
- **Silver**: East Germany
- **Bronze**: Australia

If you need specifics about individual performances or swimmers who participated, let me know!"
Athletics	Summer	1988	4 x 100 metres Relay	USA	GDR	URS	URS	GBR	FRA	USA	NGR	JPN							accepted	"At the 1988 Olympic Games held in Seoul, the medals for the Athletics 4 x 100 meters Relay event were awarded as follows:

- **Gold Medal**: United States
- **Silver Medal**: Nigeria
- **Bronze Medal**: Japan

The U.S. team in this event was notably strong, and their victory was part of a successful Olympic campaign."
Athletics	Summer	1988	4 x 400 metres Relay	URS	USA	GDR	USA	JAM	FRG				URS	USA	GBR	USA	GBR	JAM	accepted	"At the 1988 Olympic Games held in Seoul, the medals for the men's 4 x 400 meters relay were awarded as follows:

- **Gold Medal:** United States
- **Silver Medal:** Great Britain
- **Bronze Medal:** Jamaica

For the women's 4 x 400 meters relay, the medals were awarded as follows:

- **Gold Medal:** Soviet Union
- **Silver Medal:** United States
- **Bronze Medal:** Great Britain"
Basketball	Summer	1988	Basketball	USA	YUG	URS	URS	YUG	USA	URS	USA	YUG							accepted	"At the 1988 Summer Olympics in Seoul, South Korea, the medals in the basketball event were awarded as follows:

- **Gold Medal**: Soviet Union
- **Silver Medal**: United States
- **Bronze Medal**: Yugoslavia

The Soviet Union's victory marked their first Olympic gold in basketball, while the event was notable for the inclusion of NBA players in the U.S. team for the first time in Olympic history."
Rowing	Summer	1988	Coxed Eights	GDR	ROU	CHN	FRG	URS	USA	USA	GBR	CAN							accepted	"At the 1988 Summer Olympics held in Seoul, South Korea, the medals in the Rowing Coxed Eights event were awarded as follows:

- **Gold Medal**: The United States
- **Silver Medal**: Great Britain
- **Bronze Medal**: Canada

The event featured a total of eight rowers and a coxswain, with teams competing for the top honors in this highly competitive rowing category."
Rowing	Summer	1988	Coxed Fours	GDR	CHN	ROU	GDR	ROU	NZL	GDR	USA	GBR							accepted	"At the 1988 Summer Olympics held in Seoul, South Korea, the medals in the Rowing Coxed Fours event were awarded as follows:

- **Gold Medal**: East Germany (GDR)
- **Silver Medal**: United States (USA)
- **Bronze Medal**: Great Britain (GBR)

These teams competed in a highly competitive field, and the event was a highlight of the rowing competitions at those Games."
Field Hockey	Summer	1988	Field Hockey	AUS	KOR	NED	GBR	FRG	NED				NED	AUS	COR	NED	GBR	AUS	accepted	"At the 1988 Seoul Olympic Games, the results for the men's and women's field hockey events were as follows:

**Men's Field Hockey:**
- **Gold Medal:** Netherlands
- **Silver Medal:** England
- **Bronze Medal:** Australia

**Women's Field Hockey:**
- **Gold Medal:** Netherlands
- **Silver Medal:** Australia
- **Bronze Medal:** Korea

The Netherlands had a successful tournament, winning gold in both men's and women's field hockey."
Fencing	Summer	1988	Foil, Team	FRG	ITA	HUN	URS	FRG	HUN	ITA	FRA	USA							accepted	"At the 1988 Olympic Games held in Seoul, the medals for the Fencing Foil, Team event were awarded as follows:

- **Gold Medal**: Italy
- **Silver Medal**: France
- **Bronze Medal**: United States

These teams competed in the team foil event, showcasing some of the best fencers from their respective countries."
Handball	Summer	1988	Handball	KOR	NOR	URS	URS	KOR	YUG				URS	KOR	HUN	URS	USA	SWE	accepted	"At the 1988 Summer Olympics held in Seoul, the men's handball event was won by the Soviet Union, which earned the gold medal. The silver medal was awarded to the United States, and the bronze medal went to Sweden.

In the women's handball event, the gold medal was won by the Soviet Union, with South Korea taking the silver and Hungary receiving the bronze medal."
Indoor Volleyball	Summer	1988	Indoor Volleyball	URS	PER	CHN	USA	URS	ARG				URS	JPN	CHN	URS	ITA	CUB	accepted	"At the 1988 Seoul Olympic Games, the medals in the Indoor Volleyball event were awarded as follows:

**Men's Indoor Volleyball:**
- **Gold Medal:** Soviet Union
- **Silver Medal:** Italy
- **Bronze Medal:** Cuba

**Women's Indoor Volleyball:**
- **Gold Medal:** Soviet Union
- **Silver Medal:** Japan
- **Bronze Medal:** China

The Soviet Union performed exceptionally well, winning gold in both the men's and women's events."
Rowing	Summer	1988	Quadruple Sculls	GDR	URS	ROU	ITA	NOR	GDR	GDR	ITA	USA							accepted	"At the 1988 Olympic Games held in Seoul, the medals for the Rowing Quadruple Sculls event were awarded as follows:

- **Gold Medal**: East Germany (GDR)
- **Silver Medal**: Italy
- **Bronze Medal**: United States

If you need more information about the event or the teams, feel free to ask!"
Archery	Summer	1988	Team	KOR	INA	USA	KOR	USA	GBR	KOR	CHN	TPE							accepted	"At the 1988 Summer Olympics in Seoul, the medals for the Archery Team event were awarded as follows:

- **Gold Medal**: South Korea
- **Silver Medal**: China
- **Bronze Medal**: Taiwan (Republic of China)

South Korea dominated the archery events during these Olympics, particularly in the team competitions."
