Discipline	Season	Year	Event	real_f_g	real_f_s	real_f_b	real_m_g	real_m_s	real_m_b	gen_u_g	gen_u_s	gen_u_b	gen_f_g	gen_f_s	gen_f_b	gen_m_g	gen_m_s	gen_m_b	status	text
Swimming	Summer	1988	4 x 100 metres Freestyle Relay	GDR	NED	USA	USA	URS	GDR							USA	URS	GDR	accepted	"In the 1988 Summer Olympics held in Seoul, the medals for the Men's 4 x 100 metres Freestyle Relay event were awarded to the following teams:

- **Gold Medal:** United States
  - The team consisted of Chris Jacobs, Troy Dalbey, Tom Jager, and Matt Biondi.
  
- **Silver Medal:** Soviet Union (USSR)
  - The team consisted of Gennadiy Prigoda, Ilya Gerasev, Andrey Seryi, and Sergey Kopliakov.

- **Bronze Medal:** East Germany (GDR)
  - The team consisted of Steffen Zesner, Thomas Flemming, Thomas Dörner, and Lars Hinneburg.

These athletes demonstrated exceptional performance, resulting in their respective teams securing the medals in this event."
Swimming	Summer	1988	4 x 100 metres Medley Relay	GDR	USA	CAN	USA	CAN	URS	USA	URS	GDR							accepted	"In the 1988 Summer Olympics held in Seoul, South Korea, the medals for the Swimming 4 x 100 metres Medley Relay event were awarded as follows:

- **Gold Medal:** United States
- **Silver Medal:** Soviet Union
- **Bronze Medal:** East Germany (GDR)

The United States team consisted of David Berkoff (backstroke), Richard Schroeder (breaststroke), Matt Biondi (butterfly), and Chris Jacobs (freestyle). They finished with a time of 3:36.93, setting a new world record. The Soviet Union and East Germany followed to complete the podium in this event."
Athletics	Summer	1988	4 x 100 metres Relay	USA	GDR	URS	URS	GBR	FRA				USA	GDR	URS	USA	URS	FRA	accepted	"At the 1988 Summer Olympics in Seoul, the results for the Athletics 4 x 100 metres relay events were as follows:

**Men's 4 x 100 Metres Relay:**
- **Gold:** United States (Calvin Smith, Lee McRae, Dennis Mitchell, Carl Lewis)
- **Silver:** Soviet Union (Vladimir Krylov, Viktor Bryzgin, Vladimir Muravyov, Vitaliy Savin)
- **Bronze:** France (Max Morinière, Bruno Marie-Rose, Daniel Sangouma, Gilles Quénéhervé)

**Women's 4 x 100 Metres Relay:**
- **Gold:** United States (Alice Brown, Sheila Echols, Florence Griffith-Joyner, Evelyn Ashford)
- **Silver:** East Germany (Silke Möller, Kerstin Behrendt, Ingrid Lange, Marlies Göhr)
- **Bronze:** Soviet Union (Lyudmila Kondratyeva, Galina Malchugina, Natalya Pomoshchnikova, Marina Zhirova)

These teams achieved outstanding performances to secure their medals during the games."
Athletics	Summer	1988	4 x 400 metres Relay	URS	USA	GDR	USA	JAM	FRG	USA	URS	JAM							accepted	"At the 1988 Summer Olympics in Seoul, the Athletics 4 x 400 metres Relay event saw the following teams winning the medals:

- **Gold Medal**: United States
  - The U.S. team members were Danny Everett, Steve Lewis, Kevin Robinzine, and Butch Reynolds.
  
- **Silver Medal**: Soviet Union
  - The Soviet team consisted of Vladimir Krylov, Viktor Bryzgin, Armands Škēbers, and Aleksey Olizarenko.

- **Bronze Medal**: Jamaica
  - The Jamaican team members were Howard Davis, Devon Morris, Winthrop Graham, and Bert Cameron.

These teams performed exceptionally well to secure their spots on the podium."
Basketball	Summer	1988	Basketball	USA	YUG	URS	URS	YUG	USA				USA	YUG	URS	URS	YUG	USA	accepted	"In the 1988 Summer Olympics held in Seoul, the medals for the men's basketball event were awarded as follows:

- **Gold Medal:** Soviet Union (USSR)
- **Silver Medal:** Yugoslavia
- **Bronze Medal:** United States

For the women's basketball event, the medals were distributed as follows:

- **Gold Medal:** United States
- **Silver Medal:** Yugoslavia
- **Bronze Medal:** Soviet Union (USSR)

These Olympics were significant as they featured strong performances from teams around the world, displaying high levels of competition and skill."
Rowing	Summer	1988	Coxed Eights	GDR	ROU	CHN	FRG	URS	USA							FRG	URS	USA	accepted	"At the 1988 Summer Olympics in Seoul, the medalists in the Rowing Men's Coxed Eights event were: 

- **Gold:** West Germany
- **Silver:** Soviet Union
- **Bronze:** United States

These teams achieved top positions in the finals, securing their places on the podium."
Rowing	Summer	1988	Coxed Fours	GDR	CHN	ROU	GDR	ROU	NZL	GDR	URS	NZL							accepted	"In the 1988 Summer Olympics held in Seoul, the Rowing Coxed Fours event saw the following teams winning medals:

- **Gold Medal:** East Germany
  - Team Members: Bernd Eichwurzel, Frank Klawonn, Sven Kühne, Bernd Niesecke, and Jens Doberschütz (cox).

- **Silver Medal:** Soviet Union
  - Team Members: Vladimir Volodenkov, Viktor Omelyanovich, Alexander Kulagin, Mikhail Prokhorov, and Damaschin Kotloushkin (cox).

- **Bronze Medal:** New Zealand
  - Team Members: Ian Wright, George Keys, Greg Johnston, Chris White, and Andrew Bird (cox).

These teams delivered excellent performances to secure their respective medals in a highly competitive event."
Field Hockey	Summer	1988	Field Hockey	AUS	KOR	NED	GBR	FRG	NED				AUS	KOR	NED	GBR	FRG	NED	accepted	"In the 1988 Summer Olympics held in Seoul, the medals for Field Hockey were awarded as follows:

**Men's Field Hockey:**
- **Gold Medal:** Great Britain
- **Silver Medal:** West Germany
- **Bronze Medal:** Netherlands

**Women's Field Hockey:**
- **Gold Medal:** Australia
- **Silver Medal:** South Korea
- **Bronze Medal:** Netherlands

These results marked significant achievements for the respective teams in the history of Olympic field hockey."
Fencing	Summer	1988	Foil, Team	FRG	ITA	HUN	URS	FRG	HUN							URS	GDR	POL	accepted	"In the 1988 Summer Olympics held in Seoul, the medals for the Men's Team Foil event in fencing were awarded as follows:

- **Gold Medal**: USSR (Soviet Union) team
- **Silver Medal**: German Democratic Republic (East Germany) team
- **Bronze Medal**: Poland team

These teams excelled in their respective matches, leading to their positions on the podium."
Handball	Summer	1988	Handball	KOR	NOR	URS	URS	KOR	YUG				KOR	NOR	URS	URS	KOR	YUG	accepted	"In the 1988 Summer Olympics held in Seoul, South Korea, the handball medals were awarded as follows:

**Men's Handball:**
- **Gold:** Soviet Union
- **Silver:** South Korea
- **Bronze:** Yugoslavia

**Women's Handball:**
- **Gold:** South Korea
- **Silver:** Norway
- **Bronze:** Soviet Union

These results reflect the strong performances of the teams during the competition in 1988."
Indoor Volleyball	Summer	1988	Indoor Volleyball	URS	PER	CHN	USA	URS	ARG				URS	PER	CHN	USA	URS	ARG	accepted	"At the 1988 Summer Olympics held in Seoul, South Korea, the medals for Indoor Volleyball were awarded as follows:

**Men's Indoor Volleyball:**
- **Gold Medal:** United States
- **Silver Medal:** Soviet Union
- **Bronze Medal:** Argentina

**Women's Indoor Volleyball:**
- **Gold Medal:** Soviet Union
- **Silver Medal:** Peru
- **Bronze Medal:** China

These teams demonstrated outstanding performances to secure their places on the podium in their respective categories."
Rowing	Summer	1988	Quadruple Sculls	GDR	URS	ROU	ITA	NOR	GDR							GDR	URS	ITA	accepted	"In the 1988 Summer Olympics held in Seoul, South Korea, the medals for the Men's Quadruple Sculls rowing event were awarded as follows:

- **Gold Medal:** East Germany (GDR) team, consisting of Frank Klawonn, Uwe Heppner, Uwe Mund, and Martin Winter.
- **Silver Medal:** Soviet Union (URS) team, comprising Valery Dolinin, Aleksandr Motin, Andrey Tishkin, and Evgeni Kiselyov.
- **Bronze Medal:** Italy (ITA) team, composed of Stefano Spremberg, Piero Poli, Gianluca Farina, and Davide Tizzano.

These athletes and their respective teams demonstrated exceptional skill and teamwork to secure their podium finishes."
Archery	Summer	1988	Team	KOR	INA	USA	KOR	USA	GBR				KOR	INA	USA	KOR	USA	URS	accepted	"In the 1988 Olympic Games held in Seoul, the medals for the Archery Team event were awarded as follows:

**Men's Team Event:**
- **Gold:** South Korea (Team members: Park Sung-soo, Kim Young-ho, Chung Jae-hun)
- **Silver:** United States (Team members: Jay Barrs, Tim Cuddihy, Robin Hood)
- **Bronze:** Soviet Union (Team members: Vladimir Yesheyev, Andrey Yakovlev, Sergei Yurgin) 

**Women's Team Event:**
- **Gold:** South Korea (Team members: Kim Soo-nyung, Yun Young-sook, Wang Hee-kyung)
- **Silver:** Indonesia (Team members: Nurfitriyana Saiman, Lilies Handayani, Kusuma Wardhani)
- **Bronze:** United States (Team members: Denise Parker, Debra Ochs, Melanie Skillman) 

These results reflect the strong performance of South Korean archers, particularly in the women's category, where they secured both individual and team gold medals."
